	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
0	0	5	11111110111010001110100010000000	iiiii	16	N		5	iiiii	16	11111110111010001110100010000000	1.875	19
1	1	5	11111101110101001101010001000000	iiiia	16	N		5	iiiia	16	11111101110101001101010001000000	1.875	19
2	2	5	11111011101100101011001000100000	iiiai	16	N		5	iiiai	16	11111011101100101011001000100000	1.875	19
3	3	5	11110111011100010111000100010000	iiiaa	16	N		5	iiiaa	16	11110111011100010111000100010000	1.875	19
4	4	5	11101111100011101000111000001000	iiaii	16	N		5	iiaii	16	11101111100011101000111000001000	1.875	19
5	5	5	11011111010011010100110100000100	iiaia	16	N		5	iiaia	16	11011111010011010100110100000100	1.875	19
6	6	5	10111111001010110010101100000010	iiaai	16	N		5	iiaai	16	10111111001010110010101100000010	1.875	19
7	7	5	01111111000101110001011100000001	iiaaa	16	N		5	iiaaa	16	01111111000101110001011100000001	1.875	19
8	8	5	11101000111111101000000011101000	iaiii	16	N		5	iaiii	16	11101000111111101000000011101000	1.875	19
9	9	5	11010100111111010100000011010100	iaiia	16	N		5	iaiia	16	11010100111111010100000011010100	1.875	19
10	10	5	10110010111110110010000010110010	iaiai	16	N		5	iaiai	16	10110010111110110010000010110010	1.875	19
11	11	5	01110001111101110001000001110001	iaiaa	16	N		5	iaiaa	16	01110001111101110001000001110001	1.875	19
12	12	5	10001110111011110000100010001110	iaaii	16	N		5	iaaii	16	10001110111011110000100010001110	1.875	19
13	13	5	01001101110111110000010001001101	iaaia	16	N		5	iaaia	16	01001101110111110000010001001101	1.875	19
14	14	5	00101011101111110000001000101011	iaaai	16	N		5	iaaai	16	00101011101111110000001000101011	1.875	19
15	15	5	00010111011111110000000100010111	iaaaa	16	N		5	iaaaa	16	00010111011111110000000100010111	1.875	19
16	16	5	11101000100000001111111011101000	aiiii	16	N		5	aiiii	16	11101000100000001111111011101000	1.875	19
17	17	5	11010100010000001111110111010100	aiiia	16	N		5	aiiia	16	11010100010000001111110111010100	1.875	19
18	18	5	10110010001000001111101110110010	aiiai	16	N		5	aiiai	16	10110010001000001111101110110010	1.875	19
19	19	5	01110001000100001111011101110001	aiiaa	16	N		5	aiiaa	16	01110001000100001111011101110001	1.875	19
20	20	5	10001110000010001110111110001110	aiaii	16	N		5	aiaii	16	10001110000010001110111110001110	1.875	19
21	21	5	01001101000001001101111101001101	aiaia	16	N		5	aiaia	16	01001101000001001101111101001101	1.875	19
22	22	5	00101011000000101011111100101011	aiaai	16	N		5	aiaai	16	00101011000000101011111100101011	1.875	19
23	23	5	00010111000000010111111100010111	aiaaa	16	N		5	aiaaa	16	00010111000000010111111100010111	1.875	19
24	24	5	10000000111010001110100011111110	aaiii	16	N		5	aaiii	16	10000000111010001110100011111110	1.875	19
25	25	5	01000000110101001101010011111101	aaiia	16	N		5	aaiia	16	01000000110101001101010011111101	1.875	19
26	26	5	00100000101100101011001011111011	aaiai	16	N		5	aaiai	16	00100000101100101011001011111011	1.875	19
27	27	5	00010000011100010111000111110111	aaiaa	16	N		5	aaiaa	16	00010000011100010111000111110111	1.875	19
28	28	5	00001000100011101000111011101111	aaaii	16	N		5	aaaii	16	00001000100011101000111011101111	1.875	19
29	29	5	00000100010011010100110111011111	aaaia	16	N		5	aaaia	16	00000100010011010100110111011111	1.875	19
30	30	5	00000010001010110010101110111111	aaaai	16	N		5	aaaai	16	00000010001010110010101110111111	1.875	19
31	31	5	00000001000101110001011101111111	aaaaa	16	N		5	aaaaa	16	00000001000101110001011101111111	1.875	19
